Category,Model Classification,Model Name,Publication_Date,Tool Usage,Url,Architecture,Transformer_Type,Description,Evaluation,citation
"Natural language, MRI",Multimodal,Decipher-MR,2024-07,A vision  language foundation model tailored to 3D MRI representation learning and cross-modal tasks.,https://arxiv.org/html/2509.21249v1,Transformer (MR Decoding),Dual-Encoder,Decipher-MR uses Transformer encoder for MR image interpretation and decoding. Encoder-only architecture. (2024),Radiology image classification,0
"Natural language, MRI",Multimodal,OmniMRI,2025-08,"A unified vision language FM intended to cover full-stack MRI workflows (reconstruction segmentation detection diagnosis suggestion report generation).
Natural language side: Uses paired vision Natural language data plus instruction response data; also generates structured Natural language descriptions when annotations are missing (using a local VLM).",https://arxiv.org/abs/2508.17524,Transformer (Omnibus MRI),Encoder-Decoder,OmniMRI uses Transformer encoder for omnibus MRI analysis across multiple sequences and anatomies. (2024),Radiology image classification,0
"Natural language, MRI",Multimodal,FoundSyn,2025-08,A diffusion-based approach for language-guided MRI synthesis intended for broader generalization,https://www.nature.com/articles/s41467-025-63140-8,Transformer (Synthetic),Encoder-only,Transformer encoder for synthetic medical data generation.,Radiology image classification,1
"Natural language, MRI",Multimodal,PIRTA,2024-11,A model that uses retrieval augmentation to improve brain MRI (DWI) report generation quality/factuality.,https://arxiv.org/abs/2411.15490,Transformer,Encoder-Decoder,Transformer encoder for medical imaging.,Radiology image classification,2
"Natural language, MRI",Multimodal,HLIP,2025-05,"A 3D language image pretraining framework designed to scale to uncurated studies (slice/scan/study hierarchy).
MRI scope: Reports results for brain MRI at very large scale (millions of scans) and introduces a public brain MRI benchmark (Pub-Brain-5).",https://arxiv.org/html/2505.21862v1,Transformer (Hierarchical VLM),Dual-Encoder,Dual-encoder hierarchical vision-language architecture.,Radiology image classification,2
"Natural language, MRI",Multimodal,MR-CLIP,2025-08,A CLIP-like framework aligning MR image slices with DICOM metadata rendered into natural-language prompts (sequence/plane/TE/TR/etc.).,https://arxiv.org/html/2507.00043v2,ViT + Natural language Encoder (CLIP-style VLM),Dual-Encoder,MR-CLIP uses CLIP-style dual encoder architecture for MR imaging with vision-language alignment. (2024),Radiology image classification,3
"Natural language, MRI",Multimodal,TUMSyn,2025-06,Generates multimodal brain MRI conditioned on Natural languageual imaging metadata; trained with a large multi-site MRI database and an MRI-specific Natural language encoder.,https://www.sciencedirect.com/science/article/pii/S2666379125002551,Transformer (Tumor Synthesis),Encoder-only,Transformer encoder for tumor synthesis.,Radiology image classification,13
"Natural language, MRI",Multimodal,AutoRG-Brain,2024-04,A brain MRI report generation pipeline paired with a dataset release aimed at grounded report generation (linking Natural language findings to image evidence).,https://arxiv.org/html/2407.16684v1,Transformer + LLM (Report Generation),Encoder-Decoder,AutoRG-Brain uses vision encoder with LLM decoder for automated brain MRI report generation. Multimodal architecture. (2024),Radiology image classification,19
"Natural language, MRI",Multimodal,UniMed-CLIP,2024-06,"A CLIP-style medical VLM trained on a large multi-modality image  Natural language corpus.
MRI scope: Explicitly targets a unified representation across modalities including MRI (alongside CT/US/etc.).",https://arxiv.org/html/2412.10372,ViT + Natural language Encoder (CLIP-style VLM),Dual-Encoder,CLIP-style dual encoder for unified medical imaging.,34 clinical tasks in anatomic pathology; ROI classification; Slide-level classification; Segmentation (SegPath); Retrieval,30
"Natural language, MRI",Multimodal,BiomedParse,2024-11,Joint segmentation detection and recognition across 9 biomedical modalities using Natural language prompts (excludes mIF),https://doi.org/10.1038/s41592-024-02499-w,ViT + Decoder (Segmentation),Encoder-Decoder,"BiomedParse uses ViT encoder with decoder for biomedical image segmentation across 9 modalities. Encoder-decoder architecture for joint detection, segmentation, and recognition. (Microsoft Research, 2024)",Perplexity evaluation; Generation quality assessment,137
"Natural language, MRI",Multimodal,RadFM,2025-08,"A radiology foundation model that integrates Natural languageual inputs with 2D and 3D medical imaging to perform diverse radiologic tasks such as diagnosis, visual question answering, report generation, and reasoning within a unified multimodal AI framework.",https://www.nature.com/articles/s41467-025-62385-7,ViT + LLM (Multimodal Radiology FM),Encoder-Decoder,"RadFM is a radiology foundation model integrating 2D and 3D medical imaging with text. Uses MedCLIP/3D encoders feeding into LLaMA decoder for report generation and VQA. (Wu et al., Nature Communications 2025)",2D/3D radiology benchmarks; Report generation; VQA; Multi-modal understanding,144
"Natural language, MRI",Multimodal,Med-Gemini,2024-05,Visual Question Answering (VQA) and reasoning,https://arxiv.org/abs/2404.18416,Transformer decoder with MoE and custom modality encoders,Encoder-Decoder,"A family of multimodal models specialized for medicine through self-training, web search integration, and tailored encoders",Skin cancer pathology classification,319
"Natural language, MRI",Multimodal,Med-PaLM Multimodal (Med-PaLM M),2023-7,"Google's generalist biomedical multimodal model trained on MultiMedBench benchmark. Handles diverse data types including clinical language, medical imaging (radiology, pathology, dermatology, mammography), and genomics via natural language instructions.",https://arxiv.org/abs/2307.14334,Pretrained PaLM LLM and ViT encoders aligned through multimodal finetuning,Encoder-Decoder,Medical visual question answering on MRI scans across diverse anatomical regions.,Arrhythmia classification.,443
"Natural language, MRI",Multimodal,BiomedCLIP,2025-1,"explicitly a biomedical vision-language foundation model; training data covers microscopy and histology, and the provided label set includes hematoxylin and eosin histopathology",https://arxiv.org/abs/2303.00915,ViT-B/16 + Natural language Encoder (CLIP-style VLM),Dual-Encoder,"BiomedCLIP uses CLIP-style architecture with PubMedBERT text encoder and ViT-B/16 image encoder. Dual encoder design with contrastive learning on PMC-15M image-text pairs from PubMed Central. (Zhang et al., 2023)",PMC-15M benchmark; Zero-shot classification; Image-Natural language retrieval; Medical VQA,498
"Natural language, OCT",Multimodal,UA-VLFM,2024-11,An  uncertainty-aware  vision  language foundation model for retinal OCT that combines OCT pretraining (MAE-style) with contrastive vision  language alignment and uncertainty estimation.,https://pubmed.ncbi.nlm.nih.gov/40971271/,Transformer (Universal VLM),Dual-Encoder,Dual-encoder universal vision-language foundation model.,Radiology image classification,0
"Natural language, OCT",Multimodal,LO-VLM,2025-12,A language of ophthalmology VLM approach; introduces OCT-focused vision language modeling with an explicit goal of ophthalmic language grounding.,https://www.nature.com/articles/s43856-025-01293-9,Transformer (Low-resource VLM),Encoder-Decoder,Dual-encoder for low-resource vision-language medical tasks.,Radiology image classification,0
"Natural language, OCT",Multimodal,MORG,2025-10,Multi-label OCT report generation trained on a large paired dataset (tens of thousands of OCT images with ophthalmologist reports),https://www.nature.com/articles/s41746-025-01988-2,Transformer (Multi-organ),Encoder-Decoder,Transformer encoder for multi-organ analysis.,"Radiology image classification; Image translation quality (FID, SSIM)",1
"Natural language, OCT",Multimodal,EyeCLIP,2025-6,"This study introduces EyeCLIP, a multimodal vision language foundation model pretrained on multi-modal ophthalmic images and partial clinical Natural language using self-supervised reconstruction and contrastive learning, enabling generalizable, few-shot/zero-shot disease detection and cross-modal reasoning.",https://www.nature.com/articles/s41746-025-01772-2,ViT + Natural language Encoder (CLIP-style VLM),Dual-Encoder,EyeCLIP is a multimodal vision-language foundation model using CLIP-style dual encoder architecture. Self-supervised reconstruction and contrastive learning for ophthalmic images and clinical text. (npj Digital Medicine 2025),Radiology image classification,27
"Natural language, OCT",Multimodal,BiomedParse,2024-11,Joint segmentation detection and recognition across 9 biomedical modalities using Natural language prompts (excludes mIF),https://doi.org/10.1038/s41592-024-02499-w,ViT + Decoder (Segmentation),Encoder-Decoder,"BiomedParse uses ViT encoder with decoder for biomedical image segmentation across 9 modalities. Encoder-decoder architecture for joint detection, segmentation, and recognition. (Microsoft Research, 2024)",Perplexity evaluation; Generation quality assessment,137
"Natural language, OCT",Multimodal,RetinaVLM,2024-11,Uses a pretrained OCT encoder + Llama 3; emphasizes curriculum design and clinical supervision signals derived from OCT-associated structured/tabular reports.,https://iovs.arvojournals.org/article.aspx?articleid=2803459,ViT + LLM (Vision-Language),Encoder-Decoder,RetinaVLM uses vision encoder with LLM decoder for retinal image understanding and question answering. Multimodal architecture. (2024),Radiology image classification,
"Natural language, Protein",Multimodal,BioT5,2024-01,"BioT5 is a comprehensive pre-training framework that integrates molecules, proteins, and natural language to enhance drug discovery and biological understanding.",https://arxiv.org/abs/2310.07276,"T5-v1.1-base architecture (252M parameters) utilizing a shared encoder and decoder. It employs separate vocabularies for molecule SELFIES, protein FASTA, and natural language text. Pre-trained using a multi-task approach including masked span recovery and bidirectional translation between bio-sequences and structured text descriptions.",Encoder-Decoder,BioT5 leverages SELFIES for robust molecular representations and extracts knowledge from unstructured biological literature and structured databases. It distinguishes between structured and unstructured knowledge to effectively capture underlying relations and properties of bio-entities.,"Evaluated on 15 downstream tasks across three categories: single-instance prediction (molecule property prediction on MoleculeNet, protein property prediction on PEER), multi-instance prediction (drug-target interaction on BioSNAP, Human, BindingDB; protein-protein interaction on Yeast, Human), and cross-modal generation (molecule captioning and text-based molecule generation on ChEBI-20). Metrics include AUROC, AUPRC, Accuracy, BLEU, ROUGE, METEOR, Text2Mol, Exact Match, Levenshtein, FCD, and Validity.",118
"Natural language, scRNA-seq",Multimodal,CASSIA,2025-12,Multi-agent LLM framework designed specifically for automated cell type annotation.,https://www.nature.com/articles/s41467-025-67084-x,Transformer,Decoder-only,Transformer encoder for medical image analysis.,Task-specific fine-tuning,3
"scRNA-seq, Natural language",Multimodal,CellWhisperer,2025-11,"CellWhisperer is an artificial intelligence model and software tool that enables interactive, chat-based exploration and interrogation of single-cell RNA-sequencing data using natural language",https://doi.org/10.1038/s41587-025-02857-9,Multimodal contrastive learning architecture (adapted from CLIP and LiT) using Geneformer for transcriptome embedding and BioBERT for text embedding. A LLaVA-style two-layer adapter module projects the joint embeddings into the token space of a Mistral 7B large language model for chat generation,Encoder-Decoder,"CellWhisperer establishes a multimodal embedding of transcriptomes and textual annotations via contrastive learning on 1 million RNA-seq profiles. This embedding informs a fine-tuned large language model that answers user-provided questions about cells and genes in natural-language chats, integrated with the CELLxGENE browser","Zero-shot prediction of cell types, diseases, tissues, and organs (AUROC, Accuracy, F1 score); dataset integration and batch effect correction (average silhouette width, average bio score); gene set enrichment correlation (Pearson correlation, Kolmogorov-Smirnoff statistic); perplexity-based evaluation of chat responses on matched vs. mismatched transcriptomes.",13
"scRNA-seq, Natural language",Multimodal,Cell2Sentence,2026-01,Method converting gene expression profiles to Natural language sentences for LLM fine-tuning (up to 27B params),https://doi.org/10.1101/2025.04.14.648850,Transformer (Language Model adaptation),Encoder-only,"Cell2Sentence converts single-cell data to natural language format and uses language model encoders for representation learning. Leverages pretrained text encoders. (Levine et al., 2023)",Task-specific fine-tuning,24
scRNA-seq,Unimodal,Geneformer,2023-06,Attention-based foundation model on 30-104M single cells for network biology and drug discovery,https://pubmed.ncbi.nlm.nih.gov/37258680/,"Transformer Encoder (BERT-like, 6-12 layers)",Encoder-only,"Architecture Type: Bidirectional Encoder Representations from Transformers (BERT). The rank value encoding of each single cell's transcriptome proceeds through N layers of transformer encoder units. Pretraining was accomplished using a masked learning objective where 15% of the genes were masked. (Theodoris et al., Nature 2023)",Cell type classification; Gene network inference; Disease state prediction; 104M cells (v2),836
"Natural language, Ultrasound",Multimodal,BiomedParse,2024-11,Joint segmentation detection and recognition across 9 biomedical modalities using Natural language prompts (excludes mIF),https://doi.org/10.1038/s41592-024-02499-w,ViT + Decoder (Segmentation),Encoder-Decoder,"BiomedParse uses ViT encoder with decoder for biomedical image segmentation across 9 modalities. Encoder-decoder architecture for joint detection, segmentation, and recognition. (Microsoft Research, 2024)",Perplexity evaluation; Generation quality assessment,137
"Natural language, Ultrasound",Multimodal,RadFM,2025-08,"A radiology foundation model that integrates Natural languageual inputs with 2D and 3D medical imaging to perform diverse radiologic tasks such as diagnosis, visual question answering, report generation, and reasoning within a unified multimodal AI framework.",https://www.nature.com/articles/s41467-025-62385-7,ViT + LLM (Multimodal Radiology FM),Encoder-Decoder,"RadFM is a radiology foundation model integrating 2D and 3D medical imaging with text. Uses MedCLIP/3D encoders feeding into LLaMA decoder for report generation and VQA. (Wu et al., Nature Communications 2025)",2D/3D radiology benchmarks; Report generation; VQA; Multi-modal understanding,144
"Natural language, Ultrasound",Multimodal,EchoCLIP,2024-04,A vision-language foundation model for echocardiography that learns the relationship between cardiac ultrasound images and expert cardiologist interpretations. Trained on over 1 million echocardiogram video-Natural language pairs for cardiac function assessment and device identification.,https://www.nature.com/articles/s41591-024-02959-y,ViT + Natural language Encoder (CLIP-style VLM),Dual-Encoder,"EchoCLIP uses CLIP-style dual encoder architecture with ViT for echocardiography images and text encoder. Contrastive learning for cardiac ultrasound-text alignment. (Christensen et al., npj Digital Medicine 2024)",Echocardiogram classification; Cardiac function; Device identification; 1M video-Natural language pairs,184
"Natural language, Ultrasound",Multimodal,Med-Gemini,2024-05,Reasoning and information synthesis,https://arxiv.org/abs/2404.18416,Transformer decoder with MoE and custom modality encoders,Encoder-Decoder,"A family of multimodal models specialized for medicine through self-training, web search integration, and tailored encoders","Segmentation, disease classification.",319
"Natural language, X-Ray",Multimodal,CheXagent,2024-12,Vision-language model trained on CheXinstruct achieving 36% radiologist time savings,https://arxiv.org/abs/2401.12208,ViT + LLM (Agent-based),Encoder-Decoder,"CheXagent uses vision encoder combined with LLM decoder in an agent-based architecture for interactive chest X-ray interpretation with clinical reasoning. (Chen et al., 2024)",Radiology image classification,58
"Natural language, X-Ray",Multimodal,MAIRA-1,2024-04,Microsoft's CXR report generation using RAD-DINO encoder + Vicuna LLM,https://arxiv.org/abs/2311.13668,ViT + LLM (Multimodal),Encoder-Decoder,"MAIRA-1 uses RAD-DINO ViT vision encoder feeding into Vicuna-7B LLM decoder for chest X-ray report generation. Multimodal architecture with grounded report generation. (Microsoft Research, 2024)",Radiology image classification,76
"Natural language, X-Ray",Multimodal,CXR-CLIP,2023-10,Large-scale chest X-ray pretraining with study-level contrastive learning losses,https://arxiv.org/abs/2310.13292,ViT + Natural language Encoder (CLIP-style VLM),Dual-Encoder,"CXR-CLIP uses CLIP-style dual encoder for chest X-rays with ViT image encoder and text encoder. Contrastive pretraining on CXR-report pairs. (You et al., 2023)",Radiology image classification,121
"Natural language, X-Ray",Multimodal,BiomedParse,2024-11,Joint segmentation detection and recognition across 9 biomedical modalities using Natural language prompts (excludes mIF),https://doi.org/10.1038/s41592-024-02499-w,ViT + Decoder (Segmentation),Encoder-Decoder,"BiomedParse uses ViT encoder with decoder for biomedical image segmentation across 9 modalities. Encoder-decoder architecture for joint detection, segmentation, and recognition. (Microsoft Research, 2024)",Perplexity evaluation; Generation quality assessment,137
"Natural language, X-Ray",Multimodal,RadFM,2025-8,"A radiology foundation model that integrates Natural languageual inputs with 2D and 3D medical imaging to perform diverse radiologic tasks, such as diagnosis, visual question answering, report generation, and reasoning within a unified multimodal AI framework.",https://www.nature.com/articles/s41467-025-62385-7,ViT + LLM (Multimodal Radiology FM),Encoder-Decoder,"RadFM is a radiology foundation model integrating 2D and 3D medical imaging with text. Uses MedCLIP/3D encoders feeding into LLaMA decoder for report generation and VQA. (Wu et al., Nature Communications 2025)",2D/3D radiology benchmarks; Report generation; VQA; Multi-modal understanding,144
"Natural language, X-Ray",Multimodal,MedGemma-4B,2025-07,Google's multimodal model supporting chest X-ray interpretation with longitudinal comparison,https://arxiv.org/abs/2507.05201,Transformer (Gemma-based LLM),Decoder-only,"MedGemma-4B is based on Gemma 4B decoder-only architecture with medical fine-tuning. Autoregressive Transformer. (Google, 2024)",Radiology image classification,165
"Natural language, X-Ray",Multimodal,BioViL-T,2023-03,Temporal extension of BioViL for disease progression classification in longitudinal CXRs,https://arxiv.org/abs/2301.04558,ViT + Natural language Encoder (Temporal VLM),Dual-Encoder,"BioViL-T extends BioViL with temporal modeling using dual encoder vision-language architecture. Captures temporal relationships in sequential chest X-rays. (Bannur et al., 2023)","CXR classification; Phrase grounding; Report generation; RSNAv2, CheXpert",242
"Natural language, X-Ray",Multimodal,Med-Gemini,2024-05,Classification and report generation,https://arxiv.org/abs/2404.18416,Transformer decoder with MoE and custom modality encoders,Encoder-Decoder,"A family of multimodal models specialized for medicine through self-training, web search integration, and tailored encoders",Differential diagnosis of 128 skin conditions,319
"Natural language, X-Ray",Multimodal,BioViL,2022-07,Vision-language model with specialized CXR-BERT Natural language encoder for chest radiographs,https://arxiv.org/abs/2204.09817,ViT + Natural language Encoder (VLM),Dual-Encoder,"BioViL uses dual encoder vision-language architecture with ViT image encoder and text encoder. Pretrained on MIMIC-CXR chest X-rays with radiology reports. (Boecking et al., ECCV 2022)","CXR classification; Phrase grounding; Report generation; RSNAv2, CheXpert",389
"Natural language, X-Ray",Multimodal,CheXzero,2022-12,Zero-shot multi-label chest X-ray classification using CLIP achieving expert-level pathology detection,https://pubmed.ncbi.nlm.nih.gov/36109605/,ViT-B/32 + Natural language Encoder (CLIP-style VLM),Dual-Encoder,"CheXzero uses CLIP-style dual encoder architecture with ViT-B/32 for images and transformer for text. Contrastive pretraining aligns chest X-ray images with radiology reports without manual labels. (Tiu et al., Nature Biomedical Engineering 2022)",Zero-shot CXR classification; 14 pathologies; CheXpert benchmark; External validation,431
"Natural language, X-Ray",Multimodal,Med-PaLM Multimodal (Med-PaLM M),2023-07,"Google's generalist biomedical multimodal model trained on MultiMedBench benchmark. Handles diverse data types including clinical language, medical imaging (radiology, pathology, dermatology, mammography), and genomics via natural language instructions.",https://arxiv.org/abs/2307.14334,Pretrained PaLM LLM and ViT encoders aligned through multimodal finetuning,Encoder-Decoder,"Chest X-ray report generation (MIMIC-CXR), abnormality classification, and mammography assessment (BI-RADS).",Skin cancer pathology classification,443
"Natural language, X-Ray",Multimodal,GLoRIA,2021-10,Global-local attention contrastive learning framework for chest X-ray and Natural language alignment,https://doi.org/10.1109/ICCV48922.2021.00391,CNN/ViT + Natural language Encoder (CLIP-style VLM),Dual-Encoder,"GLoRIA uses dual encoder architecture with ResNet/ViT for images and BioClinicalBERT for text. Global and local contrastive learning between image regions and text phrases. (Huang et al., ICCV 2021)",Global-local contrastive learning; CXR classification; Disease localization; Report retrieval,486
"Natural language, X-Ray",Multimodal,BiomedCLIP,2025-01,"explicitly a biomedical vision-language foundation model; training data covers microscopy and histology, and the provided label set includes hematoxylin and eosin histopathology",https://arxiv.org/abs/2303.00915,ViT-B/16 + Natural language Encoder (CLIP-style VLM),Dual-Encoder,"BiomedCLIP uses CLIP-style architecture with PubMedBERT text encoder and ViT-B/16 image encoder. Dual encoder design with contrastive learning on PMC-15M image-text pairs from PubMed Central. (Zhang et al., 2023)",PMC-15M benchmark; Zero-shot classification; Image-Natural language retrieval; Medical VQA,498
"Natural language, X-Ray",Multimodal,MedCLIP,2022-10,Contrastive vision-language learning from unpaired medical images and Natural language,https://arxiv.org/abs/2210.10163,ViT + Natural language Encoder (CLIP-style VLM),Dual-Encoder,"MedCLIP uses CLIP-style dual encoder with ViT for medical images and text encoder. Decoupled contrastive learning with semantic matching. (Wang et al., EMNLP 2022)",PMC-15M benchmark; Zero-shot classification; Image-Natural language retrieval; Medical VQA,794
"Natural language, X-Ray",Multimodal,ConVIRT,2022-1,Pioneering bidirectional contrastive vision-language model for medical image-Natural language pairs,https://proceedings.mlr.press/v182/zhang22a.html,CNN + Natural language Encoder (Contrastive VLM),Dual-Encoder,"ConVIRT uses contrastive learning with CNN (ResNet-50) image encoder and BERT text encoder (dual encoder). Precursor to CLIP-style medical vision-language models. (Zhang et al., MLHC 2022)",CXR classification; Pre-training evaluation; Transfer learning benchmarks,1003
"Natural language,CFP",Multimodal,Meta-EyeFM,2024-10,"Integrated language  vision foundation model  for conversational triage/diagnostics that routes fundus photographs + user queries to specialized vision models (more than a single paired CFP  Natural language pretraining recipe, but still highly relevant for multimodal workflows)",https://www.sciencedirect.com/science/article/pii/S266637912500549X,ViT (Meta-learning),Encoder-only,Meta-EyeFM uses ViT encoder with meta-learning for few-shot ophthalmic imaging tasks. Encoder-only design. (2024),Multi-task benchmark evaluation,2
"Natural language,CFP",Multimodal,RetiZero,2024-08,"Knowledge-rich fundus vision  language pretraining using large-scale fundus images paired with Natural languageual descriptions (hundreds of diseases), aimed at rare/common disease recognition and generalization.",https://www.nature.com/articles/s41467-025-60577-9,ViT (Zero-shot),Encoder-only,RetiZero uses ViT encoder for zero-shot retinal image classification. Encoder-only with contrastive pretraining. (2024),Domain-specific evaluation,20
"Natural language,CFP",Multimodal,DeepOpht,2023-05,Early deep learning pipeline for medical report generation from retinal images,https://openaccess.thecvf.com/content/WACV2021/papers/Huang_DeepOpht_Medical_Report_Generation_for_Retinal_Images_via_Deep_Models_WACV_2021_paper,CNN (Ophthalmology),Non-Transformer,"DeepOpht uses CNN architecture for ophthalmology image analysis. Convolutional network, not Transformer. (2023)",Image classification benchmark,67
"Natural language,CFP",Multimodal,FLAIR,2024-06,Vision  language model for color fundus understanding that injects expert knowledge via Natural language supervision (supports strong transfer/zero-shot-style use cases).,https://arxiv.org/abs/2308.07898,ViT (Foundation Model),Encoder-only,FLAIR uses ViT encoder foundation model for fundus image analysis. Encoder-only design for retinal imaging. (2024),"Zero-shot classification, disease grading (DR, Glaucoma)",95
"Natural language,ECG",Multimodal,ZETA,2026-01,Zero-shot ECG diagnosis framework that aligns 12-lead ECG signals with expert-validated structured positive and negative clinical observations to mimic differential diagnosis without disease-specific training.,https://www.nature.com/articles/s44325-025-00099-x,Transformer + Natural language Encoder (CLIP-style VLM),Encoder-only,ECG-CLIP uses CLIP-style dual encoder architecture for ECG-text alignment. Contrastive learning between ECG signals and clinical descriptions. (2024),"ZETA (Zero-shot ECG Transparent Analysis) compares ECG embeddings against structured positive/negative diagnostic observations in text, enabling interpretable zero-shot classification by explicitly weighing evidence for and against each condition, aligned with clinical reasoning workflows.",0
"Natural language,ECG",Multimodal,ETP,2024-05,"CLIP-like contrastive alignment of 12-lead ECG waveforms with Natural languageual reports, emphasizing zero-shot ECG classification via prompt similarity",https://mi-zhang.github.io/papers/2024_ICASSP_ETP.pdf,Transformer (Expression to Phenotype),Encoder-only,Transformer encoder for expression-to-phenotype prediction.,ECG classification,56
"Natural language,ECG",Multimodal,MERL,2025-2,"multimodal pretraining on ECG + paired reports for zero-shot classification with Natural language prompts, plus LLM-driven prompt engineering at test time",https://arxiv.org/html/2403.06659v1,EHR Encoder + Text Encoder + Reasoning Layer,Encoder-only,Transformer encoder for medical reinforcement learning.,ECG classification,70
"Natural language,ECG",Multimodal,METS,2023-07,trains an ECG encoder against a frozen clinical language model using paired ECG  report Natural language to enable zero-shot transfer.,https://proceedings.mlr.press/v227/li24a/li24a.pdf,ECG Encoder (ResNet1d-18) + Frozen Clinical Language Model + Projection Heads,Encoder-only,Transformer encoder for medical time series.,ECG classification,92
"Natural language,ECG",Multimodal,Med-Gemini,2024-05,Waveform signal analysis and VQA,https://arxiv.org/abs/2404.18416,Transformer decoder with MoE and custom modality encoders,Encoder-Decoder,"A family of multimodal models specialized for medicine through self-training, web search integration, and tailored encoders","Diagnosis, few-shot transfer.",319
"Natural language, Clinical Notes/EHR",Multimodal,MedGemma,2025-07,Natural language/Image; Natural language; medical Natural language and image comprehension,https://doi.org/10.48550/arXiv.2507.05201,Transformer (Gemma-based),Decoder-only,"MedGemma is based on Google Gemma decoder-only architecture fine-tuned for medical tasks using instruction tuning. (Google, 2024)",Task-specific fine-tuning,0
"Natural language, Clinical Notes/EHR",Multimodal,Med-Gemini,2024-05,"Reasoning, retrieval, and summarization",https://arxiv.org/abs/2404.18416,Transformer decoder with MoE and custom modality encoders,Encoder-Decoder,"A family of multimodal models specialized for medicine through self-training, web search integration, and tailored encoders",Multimodal medical benchmarks; MedQA; USMLE; Radiology/path QA,319
"Natural language, Clinical Notes/EHR",Multimodal,Med-PaLM Multimodal (Med-PaLM M),2023-07,"Google's generalist biomedical multimodal model trained on MultiMedBench benchmark. Handles diverse data types including clinical language, medical imaging (radiology, pathology, dermatology, mammography), and genomics via natural language instructions.",https://arxiv.org/abs/2307.14334,Pretrained PaLM LLM and ViT encoders aligned through multimodal finetuning,Encoder-Decoder,"Medical question answering (USMLE style), radiology report summarization, and zero-shot medical reasoning.","Melanoma screening, risk stratification, phenotype quantification",443
"Natural language,H&E",Multimodal,Med-Gemini,2024-05,Visual Question Answering (VQA),https://arxiv.org/abs/2404.18416,Transformer decoder with MoE and custom modality encoders,Encoder-Decoder,"A family of multimodal models specialized for medicine through self-training, web search integration, and tailored encoders",Arrhythmia classification.,319
"Natural language,H&E",Multimodal,Med-PaLM Multimodal (Med-PaLM M),2023-07,"Google's generalist biomedical multimodal model trained on MultiMedBench benchmark. Handles diverse data types including clinical language, medical imaging (radiology, pathology, dermatology, mammography), and genomics via natural language instructions.",https://arxiv.org/abs/2307.14334,Pretrained PaLM LLM and ViT encoders aligned through multimodal finetuning,Encoder-Decoder,Close and open-ended visual question answering on pathology images (Path-VQA).,"Melanoma diagnosis, lesion change detection",443
"Natural language,PET/PET-CT/PET-MRI",Multimodal,PETAR,2025-11,"Localized Findings Generation with Mask-Aware Vision-Language Modeling for PET Automated Reporting (PETAR-4B) + PETARSeg-11K dataset lesion-level, mask-aware 3D PET/CT findings Natural language with explicit spatial grounding via lesion masks.",https://arxiv.org/html/2510.27680v2,Transformer (PET Analysis),Encoder-Decoder,PETAR uses Transformer encoder for PET image analysis and representation learning. Encoder-only design. (2024),Radiology image classification,0
"Natural language,PET/PET-CT/PET-MRI",Multimodal,PETRG-3D,2025-11,"Vision-Language Models for Automated 3D PET/CT Report Generation (PETRG-3D) dual-stream PET+CT volumetric encoding, prompt/style adaptation, and LoRA-adapted LLM decoding for 3D PET/CT report; introduces PET-focused benchmarks (e.g., PETRG-Lym / AutoPET-RG-Lym as described in the paper).",https://arxiv.org/html/2511.20145v1,Transformer-3D (Report Generation),Encoder-Decoder,PETRG-3D uses 3D Transformer encoder for volumetric PET analysis and report generation. (2024),Radiology image classification,0
"Natural language,PET/PET-CT/PET-MRI",Multimodal,PET2Rep,2025-08,Towards Vision-Language Model Evaluation for PET Report Generation benchmark/dataset for evaluating VLM report generation on PET with whole-body coverage and metabolic conNatural language.,https://arxiv.org/abs/2508.04062,Transformer (Report Generation),Encoder-Decoder,PET2Rep uses vision encoder with decoder for PET image report generation. Encoder-decoder architecture for captioning. (2024),Radiology image classification,2
"Natural language,PET/PET-CT/PET-MRI",Multimodal,Text-DiFuse,2024-10,general Natural language-guided multimodal fusion framework that explicitly cites MRI  PET fusion as a target scenario,https://arxiv.org/html/2410.23905v1,Diffusion + Natural language,Hybrid,Natural language-DiFuse uses diffusion model with text conditioning. Hybrid diffusion + language architecture. (2024),Radiology image classification,27
"Natural language,PET/PET-CT/PET-MRI",Multimodal,RadFM,2025-8,"A radiology foundation model that integrates Natural languageual inputs with 2D and 3D medical imaging to perform diverse radiologic tasks such as diagnosis, visual question answering, report generation, and reasoning within a unified multimodal AI framework.",https://www.nature.com/articles/s41467-025-62385-7,ViT + LLM (Multimodal Radiology FM),Encoder-Decoder,"RadFM is a radiology foundation model integrating 2D and 3D medical imaging with text. Uses MedCLIP/3D encoders feeding into LLaMA decoder for report generation and VQA. (Wu et al., Nature Communications 2025)",2D/3D radiology benchmarks; Report generation; VQA; Multi-modal understanding,144
"Natural language,PET/PET-CT/PET-MRI",Multimodal,Med-Gemini,2024-05,Reasoning and information synthesis,https://arxiv.org/abs/2404.18416,Transformer decoder with MoE and custom modality encoders,Encoder-Decoder,"A family of multimodal models specialized for medicine through self-training, web search integration, and tailored encoders","Ischemia detection, LVEF prediction.",319
